feature,coefficient,importance
perfect winter,0.19883280661446773,0.19883280661446773
jacket premium,0.19883280661446773,0.19883280661446773
horrible experience,-0.19859407382844876,0.19859407382844876
stitching defective,-0.19859407382844876,0.19859407382844876
defective loose,-0.19859407382844876,0.19859407382844876
experience,-0.19859407382844876,0.19859407382844876
experience stitching,-0.19859407382844876,0.19859407382844876
awesome purchase,0.19839457249667755,0.19839457249667755
pleased stitching,0.19839457249667755,0.19839457249667755
purchase highly,0.19839457249667755,0.19839457249667755
stitching texture,0.19839457249667755,0.19839457249667755
bad chemical,-0.1982326696063331,0.1982326696063331
awful texture,-0.1982326696063331,0.1982326696063331
plastic bad,-0.1982326696063331,0.1982326696063331
like plastic,-0.1982326696063331,0.1982326696063331
feel like,-0.1982326696063331,0.1982326696063331
like,-0.1982326696063331,0.1982326696063331
texture feel,-0.1982326696063331,0.1982326696063331
sandal,-0.19755625394605963,0.19755625394605963
sandal strap,-0.19755625394605963,0.19755625394605963
strap tight,-0.19755625394605963,0.19755625394605963
uncomfortable sandal,-0.19755625394605963,0.19755625394605963
tight scratchy,-0.19755625394605963,0.19755625394605963
tight,-0.19755625394605963,0.19755625394605963
comfy breathable,0.19708771237741593,0.19708771237741593
playsuit comfy,0.19708771237741593,0.19708771237741593
love playsuit,0.19708771237741593,0.19708771237741593
satisfied comfort,0.19366415016145808,0.19366415016145808
feel light,0.19366415016145808,0.19366415016145808
comfort feel,0.19366415016145808,0.19366415016145808
skin wash,0.19366415016145808,0.19366415016145808
skin,0.19366415016145808,0.19366415016145808
light skin,0.19366415016145808,0.19366415016145808
sport,0.19334252943362856,0.19334252943362856
light breathable,0.19334252943362856,0.19334252943362856
sport tshirt,0.19334252943362856,0.19334252943362856
perfect sport,0.19334252943362856,0.19334252943362856
tshirt light,0.19334252943362856,0.19334252943362856
tshirt,0.19334252943362856,0.19334252943362856
fabric look,-0.19089804875455474,0.19089804875455474
waste money,-0.19089804875455474,0.19089804875455474
stuck,-0.19089804875455474,0.19089804875455474
look faded,-0.19089804875455474,0.19089804875455474
zipper stuck,-0.19089804875455474,0.19089804875455474
stuck fabric,-0.19089804875455474,0.19089804875455474
waste,-0.19089804875455474,0.19089804875455474
money zipper,-0.19089804875455474,0.19089804875455474
styling,0.1890949899983746,0.1890949899983746
design styling,0.1890949899983746,0.1890949899983746
brilliant design,0.1890949899983746,0.1890949899983746
brilliant,0.1890949899983746,0.1890949899983746
awesome look,0.1890949899983746,0.1890949899983746
styling awesome,0.1890949899983746,0.1890949899983746
color beautiful,0.18665010281953895,0.18665010281953895
durable breathable,0.18665010281953895,0.18665010281953895
soft durable,0.18665010281953895,0.18665010281953895
fabric soft,0.18665010281953895,0.18665010281953895
beautiful fabric,0.18665010281953895,0.18665010281953895
heavily single,-0.18492833577220363,0.18492833577220363
fabric shrank,-0.18492833577220363,0.18492833577220363
polo fabric,-0.18492833577220363,0.18492833577220363
single,-0.18492833577220363,0.18492833577220363
single wash,-0.18492833577220363,0.18492833577220363
worst cotton,-0.18492833577220363,0.18492833577220363
disappointed zipper,-0.1837435974778803,0.1837435974778803
broke stitching,-0.1837435974778803,0.1837435974778803
zipper broke,-0.1837435974778803,0.1837435974778803
quality design,-0.18115819487745105,0.18115819487745105
look dull,-0.18115819487745105,0.18115819487745105
design look,-0.18115819487745105,0.18115819487745105
dress stitching,-0.18088651628963887,0.18088651628963887
loose thin,-0.18088651628963887,0.18088651628963887
thin material,-0.18088651628963887,0.18088651628963887
material look,-0.18088651628963887,0.18088651628963887
awful dress,-0.18088651628963887,0.18088651628963887
perfect fitting,0.18077347097788402,0.18077347097788402
fabric thick,0.18077347097788402,0.18077347097788402
durable highquality,0.18077347097788402,0.18077347097788402
fitting jean,0.18077347097788402,0.18077347097788402
thick,0.18077347097788402,0.18077347097788402
jean,0.18077347097788402,0.18077347097788402
jean fabric,0.18077347097788402,0.18077347097788402
thick durable,0.18077347097788402,0.18077347097788402
value,0.17941697993772304,0.17941697993772304
superb feel,0.17852655185430294,0.17852655185430294
highquality durable,0.17852655185430294,0.17852655185430294
watch superb,0.17852655185430294,0.17852655185430294
feel highquality,0.17852655185430294,0.17852655185430294
durable look,0.17852655185430294,0.17852655185430294
poor durability,-0.17670751401693938,0.17670751401693938
tore seam,-0.17670751401693938,0.17670751401693938
three,-0.17670751401693938,0.17670751401693938
three day,-0.17670751401693938,0.17670751401693938
tore,-0.17670751401693938,0.17670751401693938
seam three,-0.17670751401693938,0.17670751401693938
fabric tore,-0.17670751401693938,0.17670751401693938
durability fabric,-0.17670751401693938,0.17670751401693938
stitch loose,-0.17424890769076404,0.17424890769076404
poor stitch,-0.17424890769076404,0.17424890769076404
overpriced quality,-0.17424890769076404,0.17424890769076404
extremely overpriced,-0.17424890769076404,0.17424890769076404
quality poor,-0.17424890769076404,0.17424890769076404
texture highly,0.17059535422508326,0.17059535422508326
fit soft,0.17059535422508326,0.17059535422508326
